v1= (3)
436	4.28058
437	4.28058
438	4.28058
1082	1.45295
1083	1.45295
1084	1.45295
1102	2.99758
1103	2.99758
1104	2.99758
1218	1.60061
1219	1.60061
1220	1.60061
1468	3.9165
1469	3.9165
1470	3.9165
1474	31.4088
1475	31.4088
1476	31.4088
1628	2.72993
1629	2.72993
1630	2.72993
1718	2.09381
1719	2.09381
1720	2.09381
1889	12.0213
1890	12.0213
1891	12.0213
2002	4.19978
2003	4.19978
2004	4.19978
2045	52.5953
2046	52.5953
2047	52.5953
2292	3.99404
2293	3.99404
2294	3.99404
2460	68.1588
2461	68.1588
2462	68.1588
2575	29.6931
2576	29.6931
2577	29.6931
2900	6.82696
2901	6.82696
2902	6.82696
3365	1.76489
3366	1.76489
3367	1.76489
3498	5.94073
3499	5.94073
3500	5.94073
3505	8.52999
3506	8.52999
3507	8.52999
3543	100
3544	100
3545	100
3553	4.88594
3554	4.88594
3555	4.88594
3590	2.59973
3591	2.59973
3592	2.59973
3736	2.32998
3737	2.32998
3738	2.32998

v1= (4)
1149	20.9766
1150	20.9766
1151	20.9766
1387	17.2753
1388	17.2753
1389	17.2753
1672	55.5452
1673	55.5452
1674	55.5452
1832	28.7081
1833	28.7081
1834	28.7081
1838	35.2485
1839	35.2485
1840	35.2485
1959	38.3759
1960	38.3759
1961	38.3759
2292	100
2293	100
2294	100
2647	28.9012
2648	28.9012
2649	28.9012
2652	13.016
2653	13.016
2654	13.016
2670	23.0036
2671	23.0036
2672	23.0036
2717	13.339
2718	13.339
2719	13.339
3030	13.8341
3031	13.8341
3032	13.8341
3235	14.8003
3236	14.8003
3237	14.8003
3351	12.1011
3352	12.1011
3353	12.1011

v1= (5)
381	55.8936
382	55.8936
383	77.6987
384	77.6987
385	77.6987
398	94.3622
399	94.3622
400	94.3622
411	53.3471
412	53.3471
413	53.3471
436	64.1757
437	64.1757
438	64.1757
444	56.023
445	56.023
446	56.023
479	96.3535
480	96.3535
481	96.3535
937	66.3848
938	66.3848
939	66.3848
1116	74.7398
1117	74.7398
1118	74.7398
1363	60.29
1364	60.29
1365	60.29
1766	49.5426
1767	49.5426
1768	49.5426
1869	100
1870	100
1871	100
1893	69.072
1894	69.072
